F_1 (bot_pin),F_2 (bot_pin),F_1 (top_pin),F_2 (top_pin),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,displacement 1 [0.      0.02115 0.     ],displacement 2 [0.      0.02115 0.     ],displacement 1 [0.    0.017 0.   ],displacement 2 [0.    0.017 0.   ]
0.0,0.0,0.0,0.0,0.0,8.234013769038787,0.0,0.0,0.0,0.0,0.0,0.0
-7.133516351519802,-108.7218509720319,31.687580072841982,99.36043126466674,1.1258059271892599e-06,8.234013769038787,1.1776599947066314e-06,2.064319069720574e-06,7.739654856048922e-10,-3.7643326359700907e-10,2.865398231587948e-09,-2.5960750403074134e-08
-23112.345314124574,-352385.74392256344,102674.49077293507,322069.36417046335,11.90374816973924,8.27867532000714,12.780340718596365,21.828065854845946,2.508593190131226e-06,-1.2200455160905623e-06,9.321483225402812e-06,-8.464940992727764e-05
-28746.659477297635,-438506.05535729486,127717.87540975324,400824.18196048384,18.602979563600908,8.427388993258347,21.434026566881524,34.114368623542994,3.1219224918027108e-06,-1.51823022847156e-06,1.1660132915313274e-05,-0.0001062328042957229
-29763.559521622243,-454188.89569208445,132246.8746863615,415195.0031413061,20.10582870533631,8.574957921793501,26.597975770833298,36.87173865502607,3.2339103576552146e-06,-1.572599713031724e-06,1.2128152737411553e-05,-0.00011078603835301283
-29819.727001660187,-455112.05217068427,132499.22323818438,416056.67938767676,20.250735952907576,8.639058334600552,29.369366892922795,37.138007089971424,3.2406146354381026e-06,-1.5758214662977591e-06,1.2177156407486742e-05,-0.00011133056108575328
-29768.15194969826,-454357.1978696135,132270.60297080097,415377.36345455714,20.216855705763585,8.672864116450066,31.843215152965758,37.076112271995264,3.235297273395132e-06,-1.5732158185904887e-06,1.2171167204202496e-05,-0.00011131424806047483
-29701.188744289073,-453371.25410631875,131973.91753088727,414487.457245917,20.16589060216931,8.710189868869664,35.534937649338914,36.982915345789266,3.2283457757238356e-06,-1.56981337966882e-06,1.2160085585721743e-05,-0.0001112588854915996
-29653.166094759963,-452680.64678695874,131762.00924230067,413868.3754493279,20.146531604555026,8.752958266978304,40.026913465417884,36.94773151661756,3.223515596678366e-06,-1.5674391137503887e-06,1.2158404189439111e-05,-0.00011130313447982025
-29593.4633528392,-451813.3006048219,131498.57273719323,413087.40599710925,20.1124734981879,8.796827395389851,44.69485764067072,36.88560741483255,3.217435823453784e-06,-1.564456511732155e-06,1.2151879737294419e-05,-0.00011130934180168093
-29551.55135052399,-451221.0911198686,131314.65095516085,412558.17709418514,20.105755696701753,8.843626901245928,49.89076254052874,36.87364943592662,3.2133271908645335e-06,-1.5624305758980033e-06,1.2153346921108801e-05,-0.00011139803106799927
-29505.376317580703,-450565.6649648726,131111.9466275165,411971.4860836493,20.095358448746225,8.892488098676004,55.45719109718337,36.85495818597853,3.2087753724436213e-06,-1.5601879670185799e-06,1.2153753513863612e-05,-0.0001114813438445876
-29456.147691134727,-449861.0397230678,130895.71693684376,411338.7540727593,20.077921029656135,8.938681984485935,61.01395670194208,36.8233283739554,3.2038705634515795e-06,-1.5577753311519123e-06,1.215155689478256e-05,-0.0001115391701651726
-29421.42321461629,-449381.79316631914,130744.13772528502,410913.08985207294,20.08464998462124,8.989065292716633,67.30973169657082,36.83605520101083,3.2005812710393513e-06,-1.556145777760585e-06,1.2156985846615761e-05,-0.00011167386056280884
-29365.582844683406,-448575.86642342166,130498.6697332501,410187.3082057232,20.05804084208439,9.03528960731431,73.28632715613418,36.787607473641195,3.194959388727246e-06,-1.5533845953656634e-06,1.2151768040309004e-05,-0.00011170641301146191
-29327.902557091467,-448049.9655402773,130334.08182664143,409718.149856925,20.0591980930345,9.084321128399912,79.96394653117544,36.790099222578206,3.1913395818288316e-06,-1.551595221769156e-06,1.21550961195153e-05,-0.00011182288995876413
